CustomerID,recency_days,frequency,monetary,unique_products,avg_basket_value,avg_quantity,purchase_span_days,avg_interpurchase_days,segment
12347,96,5,2540.29,79,23.965,13.839622641509434,420,105.0,2
12348,221,1,367.0,5,73.4,53.8,0,0.0,0
12350,312,1,334.4,17,19.670588235294115,11.588235294117647,0,0.0,0
12352,275,3,1296.38,20,56.36434782608696,6.782608695652174,66,33.0,0
12355,97,1,459.4,13,35.33846153846154,18.46153846153846,0,0.0,0
12356,129,1,481.46000000000004,21,22.92666666666667,17.61904761904762,0,0.0,0
12357,183,1,6207.67,131,47.38679389312977,20.671755725190838,0,0.0,0
12358,4,2,1168.06,13,61.47684210526315,13.052631578947368,116,116.0,2
12359,10,3,3495.73,135,24.445664335664336,6.748251748251748,270,135.0,2
12362,31,5,2135.79,92,19.416272727272727,9.790909090909091,213,53.25,2
12363,37,1,299.1,16,18.69375,17.625,0,0.0,0
12364,302,1,310.32,27,11.493333333333332,18.59259259259259,0,0.0,0
12367,213,1,168.9,11,15.354545454545455,15.727272727272727,0,0.0,0
12370,69,1,938.39,48,19.549791666666668,20.9375,0,0.0,0
12371,31,1,1527.96,62,24.644516129032258,9.387096774193548,0,0.0,0
12372,36,1,515.7,19,27.142105263157898,19.36842105263158,0,0.0,0
12373,343,1,364.6,14,26.042857142857144,14.071428571428571,0,0.0,0
12375,305,1,230.3,11,20.936363636363637,7.909090909090909,0,0.0,0
12378,306,1,4008.62,219,18.30420091324201,11.547945205479452,0,0.0,0
12380,158,1,607.5500000000001,36,16.87638888888889,8.13888888888889,0,0.0,0
12381,1,5,1845.31,70,21.21045977011494,9.28735632183908,211,52.75,2
12383,10,2,750.61,35,20.850277777777777,16.944444444444443,117,117.0,2
12384,30,2,585.27,26,21.676666666666666,4.666666666666667,33,33.0,0
12386,193,2,401.9,10,40.19,35.4,293,293.0,2
12388,99,2,334.95000000000005,13,20.934375000000003,7.9375,63,63.0,0
12393,40,2,884.1,31,24.558333333333334,12.833333333333334,89,89.0,2
12394,154,2,1272.48,26,47.12888888888889,30.333333333333332,34,34.0,0
12395,6,7,1762.63,73,18.554000000000002,13.778947368421052,632,105.33333333333333,2
12397,244,1,1195.09,56,21.340892857142855,9.982142857142858,0,0.0,0
12399,3,3,820.6,36,21.04102564102564,20.871794871794872,93,46.5,2
12401,100,1,84.3,5,16.86,2.2,0,0.0,0
12406,96,1,1621.25,48,33.08673469387755,16.183673469387756,0,0.0,0
12407,187,1,719.06,33,21.78969696969697,15.818181818181818,0,0.0,0
12408,153,2,1396.78,39,34.9195,16.875,152,152.0,2
12409,66,1,6207.08,64,96.985625,49.09375,0,0.0,0
12410,253,2,693.3299999999999,26,26.666538461538458,8.115384615384615,0,0.0,0
12413,193,2,673.45,28,19.80735294117647,7.676470588235294,52,52.0,0
12414,189,2,319.61,12,24.585384615384616,14.384615384615385,123,123.0,0
12415,71,10,44582.79,193,197.26898230088497,112.43362831858407,269,29.88888888888889,2
12417,182,4,1572.48,71,18.9455421686747,7.530120481927711,101,33.666666666666664,0
12420,154,1,600.39,29,20.70310344827586,11.89655172413793,0,0.0,0
12422,216,1,147.7,8,18.4625,10.25,0,0.0,0
12423,90,3,548.92,34,13.722999999999999,12.7,249,124.5,2
12427,62,2,586.08,24,23.4432,7.72,577,577.0,2
12428,33,6,6580.52,237,25.40741312741313,11.494208494208495,309,61.8,2
12429,455,1,1281.5,20,64.075,22.7,0,0.0,0
12431,3,7,3263.25,83,32.30940594059406,15.495049504950495,695,115.83333333333333,2
12433,90,5,9033.92,187,30.727619047619047,26.047619047619047,607,151.75,2
12436,336,1,509.01,16,31.813125,13.1875,0,0.0,0
12437,10,7,2040.81,69,24.588072289156624,14.180722891566266,301,50.166666666666664,2
12441,486,1,173.55,11,15.77727272727273,11.0,0,0.0,0
12442,182,1,172.06,12,14.338333333333333,15.166666666666666,0,0.0,0
12444,1,2,1636.08,23,51.1275,4.78125,63,63.0,2
12447,68,1,476.49,26,18.326538461538462,7.3076923076923075,0,0.0,0
12449,93,3,2724.58,84,20.640757575757576,7.795454545454546,212,106.0,2
12450,187,1,96.0,2,48.0,32.0,0,0.0,0
12451,215,2,4927.87,168,25.401391752577318,17.6340206185567,4,4.0,2
12455,187,3,477.46000000000004,26,16.464137931034482,8.379310344827585,93,46.5,0
12457,245,1,196.35,1,196.35,33.0,0,0.0,0
12461,126,2,826.88,35,23.62514285714286,8.2,58,58.0,0
12462,100,1,762.11,40,19.05275,7.175,0,0.0,0
12463,7,1,350.57,20,17.5285,9.45,0,0.0,0
12464,284,1,213.89999999999998,6,35.65,3.5,0,0.0,0
12468,219,1,508.95000000000005,26,19.575000000000003,9.192307692307692,0,0.0,0
12471,152,12,10274.57,122,46.49126696832579,19.597285067873305,273,24.818181818181817,2
12472,153,2,1899.38,78,23.742250000000002,13.8625,424,424.0,2
12473,61,3,1716.01,35,45.15815789473684,14.105263157894736,278,139.0,2
12474,4,3,1179.64,53,17.606567164179108,10.343283582089553,300,150.0,2
12476,220,1,311.2,3,103.73333333333333,6.666666666666667,0,0.0,0
